STT,TRANG  ,CHß╗¿C N─éNG,,TRß║áNG TH├üI,HIß╗åN TRß║áNG,MONG MUß╗ÉN,TRß║áNG TH├üI,PH├éN C├öNG,NG├ÇY DONE
1,Trang chß╗º, - Header,,─Éß║ít y├¬u cß║ºu,- Ho├án th├ánh,"- Header hiß╗ân thß╗ï ─æß║ºy ─æß╗º logo, menu ─æiß╗üu h╞░ß╗¢ng, thanh t├¼m kiß║┐m v├á sß╗æ l╞░ß╗úng giß╗Å h├áng. Danh mß╗Ñc v├á th╞░╞íng hiß╗çu trong menu lß║Ñy ─æ├║ng tß╗½ hß╗ç thß╗æng.",done,linh,
2,,- Hiß╗ân thß╗ï sß║ún phß║⌐m mß╗¢i nhß║Ñt,,─Éß║ít y├¬u cß║ºu,- Ho├án th├ánh,"- Tß╗▒ ─æß╗Öng lß║Ñy 12 sß║ún phß║⌐m ─æ╞░ß╗úc th├¬m v├áo gß║ºn ─æ├óy nhß║Ñt tß╗½ c╞í sß╗ƒ dß╗» liß╗çu v├á hiß╗ân thß╗ï theo dß║íng tr╞░ß╗út ngang, mß╗ùi lß║ºn hiß╗çn 4 sß║ún phß║⌐m, c├│ n├║t prev/next ─æß╗â chuyß╗ân trang tr╞░ß╗¢c/sau.",done,,
3,,- Hiß╗ân thß╗ï sß║ún phß║⌐m b├ín chß║íy,,─Éß║ít y├¬u cß║ºu,- Ho├án th├ánh,- Tß╗▒ ─æß╗Öng lß║Ñy  12 sß║ún phß║⌐m c├│ sß╗æ l╞░ß╗úng ─æ├ú b├ín nhiß╗üu nhß║Ñt tß╗½ lß╗ïch sß╗¡ ─æ╞ín h├áng v├á hiß╗ân thß╗ï t╞░╞íng tß╗▒ nh╞░ mß╗Ñc sß║ún phß║⌐m mß╗¢i nhß║Ñt.,done,,
4,,- Banner quß║úng c├ío ─æß╗Öng,,─Éß║ít y├¬u cß║ºu,- Ho├án th├ánh,"- Tß╗▒ ─æß╗Öng lß║Ñy 3  h├¼nh ß║únh ─æ╞░ß╗úc g├ín tr╞░ß╗¥ng ß╗ƒ khu vß╗▒c banner tß╗½ DB. Admin quß║ún trß╗ï c├│ thß╗â chß╗ënh sß╗¡a, thay ─æß╗òi banner m├á kh├┤ng cß║ºn sß╗¡a trong code",,,
5,,- Sß║ún phß║⌐m theo giß╗¢i t├¡nh,,─Éß║ít y├¬u cß║ºu,- Ho├án th├ánh,"- Tß╗▒ ─æß╗Öng lß║Ñy c├íc h├¼nh ß║únh ─æ╞░ß╗úc gß║»n tr╞░ß╗¥ng theo giß╗¢i t├¡nh trong tß╗½ DB v├á hiß╗ân thß╗ï t╞░╞íng tß╗▒ nh╞░ mß╗Ñc sß║ún phß║⌐m mß╗¢i nhß║Ñt, b├ín chß║íy.",,,
6,,- Navbar trang chß╗º ,,Cß║⌐n cß║úi thiß╗çn,"- Hiß╗çn tß║íi trang mß╗¢i chß╗ë c├│ thß╗â chuyß╗ân tß╗¢i c├íc trang ""danh s├ích sß║ún phß║⌐m"", 1 sß╗æ trang d├ính s├ích th╞░╞íng hiß╗çu, giß╗¢i t├¡nh khi bß║Ñm v├áo",- Chuyß╗ân tß╗¢i ─æ╞░ß╗úc tß║Ñt cß║ú c├íc trang danh s├ích m├á navbar hay Dropdown navbar hiß╗çn c├│,,,
7,,- Format hiß╗ân thß╗ï gi├í & nh├ún Sale,,Cß║⌐n cß║úi thiß╗çn," - Nh├ún ""SALE"" hiß╗çn ─æang ─æ╞░ß╗úc g├ín cß╗⌐ng cho to├án bß╗Ö sß║ún phß║⌐m, kß╗â cß║ú nhß╗»ng sß║ún phß║⌐m kh├┤ng c├│ giß║úm gi├í.
- Format gi├í tiß╗ün hiß╗çn tß║íi ch╞░a ─æ├║ng vß╗¢i 1 trang web th╞░╞íng mß║íi ─æiß╗çn tß╗¡","- Cß║ºn sß╗¡a lß║íi ─æß╗â nh├ún n├áy chß╗ë xuß║Ñt hiß╗çn khi sß║ún phß║⌐m c├│ gi├í gß╗æc (old_price) thß╗▒c sß╗▒ cao h╞ín gi├í b├ín hiß╗çn tß║íi. Ngo├ái ra, gi├í tiß╗ün cß║ºn ─æ╞░ß╗úc hiß╗ân thß╗ï theo chuß║⌐n Viß╗çt Nam, c├│ dß║Ñu chß║Ñm ph├ón c├ích h├áng ngh├¼n, vd: 1.500.000Γé½ thay v├¼ 1500000Γé½ nh╞░ hiß╗çn tß║íi.",,,
8,,- Th├¬m phß║ºn th├┤ng b├ío nß║▒m ß╗ƒ header,,Th├¬m mß╗¢i ,- Hiß╗çn tß║íi trang web ch╞░a c├│ chß╗⌐c n─âng n├áy trong ß╗⌐ng dß╗Ñng.,"- ─É├óy l├á n╞íi nhß║¡n th├┤ng b├ío ─æ╞░ß╗úc cß║¡p nhß║¡t mß╗¢i nhß║Ñt vß╗ü voucher , sß║ún phß║⌐m mß╗¢i ─æ╞░ß╗úc cß║¡p nhß║¡t hoß║╖c c├íc th├┤ng tin li├¬nm quan user ─æ╞░ß╗úc admin tß║úi l├¬n",,,
9,,"- Chat vß╗¢i CSKH b├ín qua zalo , facbook ..",,Th├¬m mß╗¢i,- Hiß╗çn tß║íi trang web ch╞░a c├│ chß╗⌐c n─âng n├áy trong ß╗⌐ng dß╗Ñng.,"- User c├│ thß╗â trao ─æß╗òi, li├¬n hß╗ç, hß╗Åi gi├í, t├¼nh trß║íng sß║ún phß║⌐m vß╗¢i nh├ón vi├¬n t╞░ vß║Ñn CSKH qua zalo , facebook",,,
10,─É─âng k├¡ ,- X├íc nhß║¡n mß║¡t khß║⌐u,,Cß║⌐n cß║úi thiß╗çn,"- Form ─æ─âng k├╜ ch╞░a c├│ ├┤ nhß║¡p lß║íi mß║¡t khß║⌐u ─æß╗â kiß╗âm tra ng╞░ß╗¥i d├╣ng c├│ g├╡ ─æ├║ng hay kh├┤ng, dß╗à xß║úy ra tr╞░ß╗¥ng hß╗úp l╞░u sai mß║¡t khß║⌐u m├á kh├┤ng biß║┐t.","- Bß╗ò sung th├¬m ├┤ ""X├íc nhß║¡n mß║¡t khß║⌐u"" v├áo form. Hß╗ç thß╗æng kiß╗âm tra hai ├┤ phß║úi khß╗¢p nhau tr╞░ß╗¢c khi cho ph├⌐p tß║ío t├ái khoß║ún.",,,
11,,- Y├¬u cß║ºu ─æß╗Ö mß║ính mß║¡t khß║⌐u,,Cß║⌐n cß║úi thiß╗çn,"- Giß╗¢i hß║ín k├╜ tß╗▒ tß╗æi thiß╗âu qu├í ngß║»n, kh├┤ng y├¬u cß║ºu c├íc ─æiß╗üu kiß╗çn bß║úo mß║¡t nh╞░ chß╗» hoa, sß╗æ hay k├╜ tß╗▒ ─æß║╖c biß╗çt. Mß║¡t khß║⌐u ─æ╞ín giß║ún vß║½n ─æ╞░ß╗úc chß║Ñp nhß║¡n.","- ├üp dß╗Ñng y├¬u cß║ºu ─æß╗Ö mß║ính mß║¡t khß║⌐u ph├╣ hß╗úp , tß╗æi thiß╗âu 8 k├╜ tß╗▒, kß║┐t hß╗úp chß╗» th╞░ß╗¥ng, chß╗» hoa, sß╗æ. Hiß╗ân thß╗ï y├¬u cß║ºu r├╡ r├áng cho ng╞░ß╗¥i d├╣ng thß║Ñy ngay tr├¬n form.",,,
